hardening-includes,2.5ubuntu2
hdparm,9.43-1ubuntu3
heirloom-mailx,12.5-2
hostname,3.15ubuntu1
ifenslave,2.4ubuntu1
ifupdown,0.7.47.2ubuntu4
info,5.2.0.dfsg.1-2
init-system-helpers,1.14
initramfs-tools,0.103ubuntu4
initramfs-tools-bin,0.103ubuntu4
initscripts,2.88dsf-41ubuntu6
insserv,1.14.0-5ubuntu2
install-info,5.2.0.dfsg.1-2
installation-report,2.54ubuntu1
intltool,0.50.2-2
intltool-debian,0.35.0+20060710.1
iperf,2.0.5-3
ipmitool,1.8.13-1
iproute2,3.12.0-2
iptables,1.4.21-1ubuntu1
iputils-ping,3:20121221-4ubuntu1
iputils-tracepath,3:20121221-4ubuntu1
irqbalance,1.0.6-2
isc-dhcp-client,4.2.4-7ubuntu12
isc-dhcp-common,4.2.4-7ubuntu12
iso-codes,3.52-1
jq,1.3-1.1ubuntu1
kbd,1.15.5-1ubuntu1
kdump-tools,1.5.5-2ubuntu1
kexec-tools,1:2.0.6-0ubuntu2
keyboard-configuration,1.70ubuntu8
keystone,1:2014.1.2.1-0ubuntu1.1
klibc-utils,2.0.3-0ubuntu1
kmod,15-0ubuntu6
krb5-locales,1.12+dfsg-2ubuntu4
landscape-common,14.01-0ubuntu3
language-selector-common,0.129
laptop-detect,0.13.7ubuntu2
less,458-2
libaccountsservice0:amd64,0.6.35-0ubuntu7
libacl1:amd64,2.2.52-1
libaio1:amd64,0.3.109-4
libalgorithm-diff-perl,1.19.02-3
libalgorithm-diff-xs-perl,0.04-2build4
libalgorithm-merge-perl,0.08-2
libapache2-mod-wsgi,3.4-4ubuntu2.1.14.04.1
libapparmor-perl,2.8.95~2430-0ubuntu5
libapparmor1:amd64,2.8.95~2430-0ubuntu5
libapr1:amd64,1.5.0-1
libaprutil1:amd64,1.5.3-1
libaprutil1-dbd-sqlite3:amd64,1.5.3-1
libaprutil1-ldap:amd64,1.5.3-1
libapt-inst1.5:amd64,1.0.1ubuntu2
libapt-pkg-perl,0.1.29build1
libapt-pkg4.12:amd64,1.0.1ubuntu2
libarchive-extract-perl,0.70-1
libarchive-zip-perl,1.30-7
libasan0:amd64,4.8.2-19ubuntu1
libasn1-8-heimdal:amd64,1.6~git20131207+dfsg-1ubuntu1
libasprintf-dev:amd64,0.18.3.1-1ubuntu3
libasprintf0c2:amd64,0.18.3.1-1ubuntu3
libatomic1:amd64,4.8.2-19ubuntu1
libattr1:amd64,1:2.4.47-1ubuntu1
libaudit-common,1:2.3.2-2ubuntu1
libaudit1:amd64,1:2.3.2-2ubuntu1
libauthen-sasl-perl,2.1500-1
libautodie-perl,2.23-1
libbind9-90,1:9.9.5.dfsg-3
libblas3,1.2.20110419-7
libblkid1:amd64,2.20.1-5.1ubuntu20
libboost-iostreams1.54.0:amd64,1.54.0-4ubuntu3
libboost-system1.54.0:amd64,1.54.0-4ubuntu3.1
libboost-thread1.54.0:amd64,1.54.0-4ubuntu3.1
libbsd0:amd64,0.6.0-2ubuntu1
libbz2-1.0:amd64,1.0.6-5
libc-bin,2.19-0ubuntu6
libc-dev-bin,2.19-0ubuntu6.1
libc6:amd64,2.19-0ubuntu6.1
libc6-dev:amd64,2.19-0ubuntu6.1
libcap-ng0,0.7.3-1ubuntu2
libcap2:amd64,1:2.24-0ubuntu2
libcap2-bin,1:2.24-0ubuntu2
libcephfs1,0.80.1-0ubuntu1.1
libcgmanager0:amd64,0.24-0ubuntu5
libck-connector0:amd64,0.4.5-3.1ubuntu2
libclass-accessor-perl,0.34-1
libclone-perl,0.36-1
libcloog-isl4:amd64,0.18.2-1
libcomerr2:amd64,1.42.9-3ubuntu1
libcommon-sense-perl,3.72-2build1
libconfig-general-perl,2.52-1
libcroco3:amd64,0.6.8-2ubuntu1
libcurl3:amd64,7.35.0-1ubuntu2
libcurl3-gnutls:amd64,7.35.0-1ubuntu2
libcwidget3,0.5.16-3.5ubuntu1
libdb5.3:amd64,5.3.28-3ubuntu3
libdbd-mysql-perl,4.025-1
libdbi-perl,1.630-1
libdbus-1-3:amd64,1.6.18-0ubuntu4
libdbus-glib-1-2:amd64,0.100.2-1
libdebconfclient0:amd64,0.187ubuntu1
libdevmapper-event1.02.1:amd64,2:1.02.77-6ubuntu2
libdevmapper1.02.1:amd64,2:1.02.77-6ubuntu2
libdigest-hmac-perl,1.03+dfsg-1
libdistro-info-perl,0.12
libdns100,1:9.9.5.dfsg-3
libdpkg-perl,1.17.5ubuntu5.3
libdrm2:amd64,2.4.52-1
libdw1:amd64,0.158-0ubuntu5.1
libedit2:amd64,3.1-20130712-2
libelf1:amd64,0.158-0ubuntu5.1
libemail-valid-perl,1.192-1
libencode-locale-perl,1.03-1
libept1.4.12:amd64,1.0.12
liberror-perl,0.17-1.1
libestr0,0.1.9-0ubuntu2
libevent-2.0-5:amd64,2.0.21-stable-1ubuntu1
libexpat1:amd64,2.1.0-4ubuntu1
libexporter-lite-perl,0.02-2
libfakeroot:amd64,1.20-3ubuntu2
libffi6:amd64,3.1~rc1+r3.0.13-12
libfile-basedir-perl,0.03-1fakesync1
libfile-fcntllock-perl,0.14-2build1
libfile-listing-perl,6.04-1
libfont-afm-perl,1.20-1
libfreetype6:amd64,2.5.2-1ubuntu2
libfribidi0:amd64,0.19.6-1
libfuse2:amd64,2.9.2-4ubuntu4
libgc1c2:amd64,1:7.2d-5ubuntu2
libgcc-4.8-dev:amd64,4.8.2-19ubuntu1
libgcc1:amd64,1:4.9-20140406-0ubuntu1
libgck-1-0:amd64,3.10.1-1
libgcr-3-common,3.10.1-1
libgcr-base-3-1:amd64,3.10.1-1
libgcrypt11:amd64,1.5.3-2ubuntu4
libgdbm3:amd64,1.8.3-12build1
libgeoip1:amd64,1.6.0-1
libgettextpo-dev:amd64,0.18.3.1-1ubuntu3
libgettextpo0:amd64,0.18.3.1-1ubuntu3
libgfortran3:amd64,4.8.2-19ubuntu1
libgirepository-1.0-1,1.40.0-1
libglib2.0-0:amd64,2.40.0-2
libglib2.0-data,2.40.0-2
libgmp10:amd64,2:5.1.3+dfsg-1ubuntu1
libgnutls-openssl27:amd64,2.12.23-12ubuntu2.1
libgnutls26:amd64,2.12.23-12ubuntu2.1
libgomp1:amd64,4.8.2-19ubuntu1
libgoogle-perftools4,2.1-2ubuntu1
libgpg-error0:amd64,1.12-0.2ubuntu1
libgpm2:amd64,1.20.4-6.1
libgssapi-krb5-2:amd64,1.12+dfsg-2ubuntu4
libgssapi3-heimdal:amd64,1.6~git20131207+dfsg-1ubuntu1
libhcrypto4-heimdal:amd64,1.6~git20131207+dfsg-1ubuntu1
libheimbase1-heimdal:amd64,1.6~git20131207+dfsg-1ubuntu1
libheimntlm0-heimdal:amd64,1.6~git20131207+dfsg-1ubuntu1
libhtml-form-perl,6.03-1
libhtml-format-perl,2.11-1
libhtml-parser-perl,3.71-1build1
libhtml-tagset-perl,3.20-2
libhtml-template-perl,2.95-1
libhtml-tree-perl,5.03-1
libhttp-cookies-perl,6.00-2
libhttp-daemon-perl,6.01-1
libhttp-date-perl,6.02-1
libhttp-message-perl,6.06-1
libhttp-negotiate-perl,6.00-2
libhx509-5-heimdal:amd64,1.6~git20131207+dfsg-1ubuntu1
libibverbs1,1.1.7-1ubuntu1
libidn11:amd64,1.28-1ubuntu2
libio-html-perl,1.00-1
libio-pty-perl,1:1.08-1build4
libio-socket-inet6-perl,2.71-1
libio-socket-ssl-perl,1.965-1ubuntu1
libio-string-perl,1.08-3
libio-stringy-perl,2.110-5
libipc-run-perl,0.92-1
libipc-system-simple-perl,1.25-2
libisc95,1:9.9.5.dfsg-3
libisccc90,1:9.9.5.dfsg-3
libisccfg90,1:9.9.5.dfsg-3
libisl10:amd64,0.12.2-1
libitm1:amd64,4.8.2-19ubuntu1
libiw30:amd64,30~pre9-8ubuntu1
libjemalloc1,3.5.1-2
libjs-jquery,1.7.2+dfsg-2ubuntu1
libjs-sphinxdoc,1.2.2+dfsg-1ubuntu1.1
libjs-swfobject,2.2+dfsg-1
libjs-underscore,1.4.4-2ubuntu1
libjson-c2:amd64,0.11-3ubuntu1
libjson-perl,2.61-1
libjson-xs-perl,2.340-1build1
libjson0:amd64,0.11-3ubuntu1
libk5crypto3:amd64,1.12+dfsg-2ubuntu4
libkeyutils1:amd64,1.5.6-1
libklibc,2.0.3-0ubuntu1
libkmod2:amd64,15-0ubuntu6
libkrb5-26-heimdal:amd64,1.6~git20131207+dfsg-1ubuntu1
libkrb5-3:amd64,1.12+dfsg-2ubuntu4
libkrb5support0:amd64,1.12+dfsg-2ubuntu4
liblapack3,3.5.0-2ubuntu1
libldap-2.4-2:amd64,2.4.31-1+nmu2ubuntu8
libleveldb1:amd64,1.15.0-2
liblist-moreutils-perl,0.33-1build3
liblocale-gettext-perl,1.05-7build3
liblockfile-bin,1.09-6ubuntu1
liblockfile1:amd64,1.09-6ubuntu1
liblog-message-simple-perl,0.10-1
libltdl7:amd64,2.4.2-1.7ubuntu1
liblwp-mediatypes-perl,6.02-1
liblwp-protocol-https-perl,6.04-2ubuntu0.1
liblwres90,1:9.9.5.dfsg-3
liblzma5:amd64,5.1.1alpha+20120614-2ubuntu2
libmagic1:amd64,1:5.14-2ubuntu3.1
libmail-sendmail-perl,0.79.16-1
libmailtools-perl,2.12-1
libmodule-pluggable-perl,5.1-1
libmount1:amd64,2.20.1-5.1ubuntu20
libmpc3:amd64,1.0.1-1ubuntu1
libmpdec2:amd64,2.4.0-6
libmpfr4:amd64,3.1.2-1
libmysqlclient18:amd64,5.5.40-0ubuntu0.14.04.1
libncurses5:amd64,5.9+20140118-1ubuntu1
libncursesw5:amd64,5.9+20140118-1ubuntu1
libnet-dns-perl,0.68-1.2build1
libnet-domain-tld-perl,1.70-1
libnet-http-perl,6.06-1
libnet-ip-perl,1.26-1
libnet-smtp-ssl-perl,1.01-3
libnet-ssleay-perl,1.58-1
libnewt0.52:amd64,0.52.15-2ubuntu5
libnfnetlink0:amd64,1.0.1-2
libnih-dbus1:amd64,1.0.3-4ubuntu25
libnih1:amd64,1.0.3-4ubuntu25
libnl-3-200:amd64,3.2.21-1
libnl-genl-3-200:amd64,3.2.21-1
libnspr4:amd64,2:4.10.2-1ubuntu1.1
libnss3:amd64,2:3.15.4-1ubuntu7
libnss3-nssdb,2:3.15.4-1ubuntu7
libnuma1:amd64,2.0.9~rc5-1ubuntu2
libodbc1:amd64,2.2.14p2-5ubuntu5
libopenipmi0,2.0.18-0ubuntu7.1
libopts25:amd64,1:5.18-2ubuntu2
libp11-kit0:amd64,0.20.2-2ubuntu2
libpam-cap:amd64,1:2.24-0ubuntu2
libpam-modules:amd64,1.1.8-1ubuntu2
libpam-modules-bin,1.1.8-1ubuntu2
libpam-runtime,1.1.8-1ubuntu2
libpam-systemd:amd64,204-5ubuntu20
libpam0g:amd64,1.1.8-1ubuntu2
libparse-debcontrol-perl,2.005-4
libparse-debianchangelog-perl,1.2.0-1ubuntu1
libparted0debian1:amd64,2.3-19ubuntu1
libpcap0.8:amd64,1.5.3-2
libpci3:amd64,1:3.2.1-1ubuntu5
libpcre3:amd64,1:8.31-2ubuntu2
libpcsclite1:amd64,1.8.10-1ubuntu1
libperl5.18,5.18.2-2ubuntu1
libperlio-gzip-perl,0.18-1build3
libpipeline1:amd64,1.3.0-1
libplymouth2:amd64,0.8.8-0ubuntu17
libpng12-0:amd64,1.2.50-1ubuntu2
libpod-latex-perl,0.61-1
libpolkit-agent-1-0:amd64,0.105-4ubuntu2
libpolkit-backend-1-0:amd64,0.105-4ubuntu2
libpolkit-gobject-1-0:amd64,0.105-4ubuntu2
libpopt0:amd64,1.16-8ubuntu1
libprocps3:amd64,1:3.3.9-1ubuntu2
libpython-stdlib:amd64,2.7.5-5ubuntu3
libpython2.7:amd64,2.7.6-8
libpython2.7-minimal:amd64,2.7.6-8
libpython2.7-stdlib:amd64,2.7.6-8
libpython3-stdlib:amd64,3.4.0-0ubuntu2
libpython3.4-minimal:amd64,3.4.0-2ubuntu1
libpython3.4-stdlib:amd64,3.4.0-2ubuntu1
libquadmath0:amd64,4.8.2-19ubuntu1
librabbitmq1,0.4.1-1
librados2,0.80.1-0ubuntu1.1
librbd1,0.80.1-0ubuntu1.1
librdmacm1,1.0.16-1
libreadline5:amd64,5.2+dfsg-2
libreadline6:amd64,6.3-4ubuntu2
libroken18-heimdal:amd64,1.6~git20131207+dfsg-1ubuntu1
librtmp0:amd64,2.4+20121230.gitdf6c518-1
libsasl2-2:amd64,2.1.25.dfsg1-17build1
libsasl2-modules:amd64,2.1.25.dfsg1-17build1
libsasl2-modules-db:amd64,2.1.25.dfsg1-17build1
libsctp1:amd64,1.0.15+dfsg-1
libselinux1:amd64,2.2.2-1
libsemanage-common,2.2-1
libsemanage1:amd64,2.2-1
libsensors4:amd64,1:3.3.4-2ubuntu1
libsepol1:amd64,2.2-1
libsgutils2-2,1.36-1ubuntu1
libsigc++-2.0-0c2a:amd64,2.2.10-0.2ubuntu2
libsigsegv2:amd64,2.10-2
libslang2:amd64,2.2.4-15ubuntu1
libsmi2ldbl:amd64,0.4.8+dfsg2-8ubuntu2
libsnappy1,1.1.0-1ubuntu1
libsnmp-base,5.7.2~dfsg-8.1ubuntu3
libsnmp30:amd64,5.7.2~dfsg-8.1ubuntu3
libsocket6-perl,0.25-1
libsqlite3-0:amd64,3.8.2-1ubuntu2
libss2:amd64,1.42.9-3ubuntu1
libssl1.0.0:amd64,1.0.1f-1ubuntu2.7
libstdc++-4.8-dev:amd64,4.8.2-19ubuntu1
libstdc++6:amd64,4.8.2-19ubuntu1
libsub-identify-perl,0.04-1build3
libsub-name-perl,0.05-1build4
libsys-hostname-long-perl,1.4-3
libsystemd-daemon0:amd64,204-5ubuntu20
libsystemd-login0:amd64,204-5ubuntu20
libtasn1-6:amd64,3.4-3
libtcmalloc-minimal4,2.1-2ubuntu1
libterm-readkey-perl,2.31-1
libterm-ui-perl,0.42-1
libtext-charwidth-perl,0.04-7build3
libtext-iconv-perl,1.7-5build2
libtext-levenshtein-perl,0.06~01-2
libtext-soundex-perl,3.4-1build1
libtext-wrapi18n-perl,0.06-7
libtie-ixhash-perl,1.23-1
libtimedate-perl,2.3000-1
libtinfo5:amd64,5.9+20140118-1ubuntu1
libtsan0:amd64,4.8.2-19ubuntu1
libudev1:amd64,204-5ubuntu20
libunistring0:amd64,0.9.3-5ubuntu3
libunwind8,1.1-2.2ubuntu3
liburi-perl,1.60-1
libusb-0.1-4:amd64,2:0.1.12-23.3ubuntu1
libusb-1.0-0:amd64,2:1.0.17-1ubuntu2
libustr-1.0-1:amd64,1.0.4-3ubuntu2
libuuid1:amd64,2.20.1-5.1ubuntu20
libwind0-heimdal:amd64,1.6~git20131207+dfsg-1ubuntu1
libwrap0:amd64,7.6.q-25
libwww-perl,6.05-2
libwww-robotrules-perl,6.01-1
libx11-6:amd64,2:1.6.2-1ubuntu2
libx11-data,2:1.6.2-1ubuntu2
libxapian22,1.2.16-2ubuntu1
libxau6:amd64,1:1.0.8-1
libxcb1:amd64,1.10-2ubuntu1
libxdmcp6:amd64,1:1.1.1-1
libxext6:amd64,2:1.3.2-1
libxml-parser-perl,2.41-1build3
libxml2:amd64,2.9.1+dfsg1-3ubuntu4
libxmuu1:amd64,2:1.1.1-1
libxslt1.1:amd64,1.1.28-2build1
libxtables10,1.4.21-1ubuntu1
libyaml-0-2:amd64,0.1.4-3ubuntu3
lintian,2.5.22ubuntu1
linux-crashdump,3.13.0.34.40
linux-firmware,1.127
linux-generic,3.13.0.24.28
linux-headers-3.13.0-24,3.13.0-24.46
linux-headers-3.13.0-24-generic,3.13.0-24.46
linux-headers-3.13.0-36,3.13.0-36.63
linux-headers-3.13.0-36-generic,3.13.0-36.63
linux-headers-generic,3.13.0.24.28
linux-image-3.13.0-24-generic,3.13.0-24.46
linux-image-3.13.0-36-generic,3.13.0-36.63
linux-image-extra-3.13.0-24-generic,3.13.0-24.46
linux-image-extra-3.13.0-36-generic,3.13.0-36.63
linux-image-generic,3.13.0.24.28
linux-libc-dev:amd64,3.13.0-34.60
lksctp-tools,1.0.15+dfsg-1
locales,2.13+git20120306-12
lockfile-progs,0.1.17
login,1:4.1.5.1-1ubuntu9
logrotate,3.8.7-1ubuntu1
lsb-base,4.1+Debian11ubuntu6
